,Author,State,closed_at,created_at,issue_number,labels
331,SPM587SP19,closed,2019-04-07,2019-03-31,29,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Documentation', 'Priority:Medium', 'Status:Completed']"
332,SPM587SP19,closed,2019-04-02,2019-03-31,28,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:pendingReview']"
333,SPM587SP19,closed,2019-04-03,2019-03-31,27,"['Category:Inquiry', 'DetectionPhase:Design', 'OritinationPhase:Design', 'Priority:Medium', 'Status:Rejected']"
334,SPM587SP19,closed,2019-03-31,2019-03-31,26,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:Major', 'Status:Approved']"
335,SPM587SP19,closed,2019-03-31,2019-03-31,25,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Completed']"
336,SPM587SP19,closed,2019-03-31,2019-03-31,24,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Low', 'Status:inProgress']"
337,SPM587SP19,closed,2019-03-31,2019-03-31,23,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:High', 'Status:Rejected']"
338,SPM587SP19,closed,2019-03-31,2019-03-31,22,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Requirements', 'Priority:Major', 'Status:pendingReview']"
339,SPM587SP19,closed,2019-03-31,2019-03-31,21,"['Category:Bug', 'DetectionPhase:Design', 'OriginationPhase:Testing', 'Priority:Low', 'Status:Completed']"
340,SPM587SP19,closed,2019-03-31,2019-03-31,20,"['Category:Bug', 'DetectionPhase:Coding', 'OritinationPhase:Design', 'Priority:Major', 'Status:inProgress']"
341,SPM587SP19,closed,2019-03-31,2019-03-31,19,"['Category:Enhancement', 'DetectionPhase:Design', 'OritinationPhase:Design', 'Priority:Low', 'Status:Approved']"
342,SPM587SP19,closed,2019-03-31,2019-03-31,18,"['Category:Inquiry', 'DetectionPhase:Coding', 'OriginationPhase:Testing', 'Priority:Medium', 'Status:Rejected']"
343,SPM587SP19,closed,2019-03-31,2019-03-31,17,"['Category:Bug', 'DetectionPhase:Field', 'OriginationPhase:Requirements', 'Priority:Medium', 'Status:pendingReview']"
344,SPM587SP19,closed,2019-03-31,2019-03-31,16,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Field', 'Priority:Major', 'Status:Completed']"
345,SPM587SP19,closed,2019-03-31,2019-03-31,15,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Documentation', 'Priority:Low', 'Status:inProgress']"
346,SPM587SP19,closed,2019-03-31,2019-03-31,14,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:High', 'Status:Approved']"
347,SPM587SP19,closed,2019-03-31,2019-03-30,13,"['Category:Enhancement', 'DetectionPhase:Design', 'OritinationPhase:Design', 'Priority:Major', 'Status:inProgress']"
348,SPM587SP19,closed,2019-03-31,2019-03-30,12,"['Category:Enhancement', 'DetectionPhase:Coding', 'OriginationPhase:Testing', 'Priority:Low', 'Status:Rejected']"
349,SPM587SP19,closed,2019-03-31,2019-03-30,11,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Requirements', 'Priority:High', 'Status:inProgress']"
350,SPM587SP19,closed,2019-03-31,2019-03-30,10,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Field', 'Priority:Major', 'Status:Completed']"
351,SPM587SP19,closed,2019-03-31,2019-03-30,9,"['Category:Enhancement', 'DetectionPhase:Design', 'OriginationPhase:Documentation', 'Priority:Major', 'Status:Rejected']"
352,SPM587SP19,closed,2019-03-31,2019-03-30,8,"['Category:Bug', 'DetectionPhase:Coding', 'OriginationPhase:Coding', 'Priority:High', 'Status:inProgress']"
353,SPM587SP19,closed,2019-03-31,2019-03-30,7,"['Category:Inquiry', 'DetectionPhase:Design', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Approved']"
354,SPM587SP19,closed,2019-03-31,2019-03-30,6,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Coding', 'Priority:Low', 'Status:Approved']"
355,SPM587SP19,closed,2019-03-31,2019-03-30,5,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Coding', 'Priority:Low', 'Status:pendingReview']"
356,SPM587SP19,closed,2019-03-31,2019-03-29,4,"['Category:Inquiry', 'DetectionPhase:Field', 'OriginationPhase:Coding', 'Priority:Medium', 'Status:pendingReview']"
